"emp_id","satisfaction_level","last_evaluation"
"10081","45.0","54.0"
"10082","38.0","49.0"
"10083","79.0","59.0"
"10084","84.0","85.0"
"10085","11.0","77.0"
"10086","11.0","87.0"
"10087","17.0","84.0"
"10088","44.0","45.0"
"10089","37.0","57.0"
"10090","10.0","79.0"
"10091","40.0","50.0"
"10092","89.0","100.0"
"10093","42.0","48.0"
"10094","46.0","55.0"
"10095","9.0","83.0"
"10096","37.0","51.0"
"10097","10.0","77.0"
"10098","10.0","84.0"
"10099","11.0","97.0"
"10100","90.0","100.0"
"10101","38.0","52.0"
"10102","36.0","52.0"
"10103","42.0","46.0"
"10104","9.0","94.0"
"10105","43.0","52.0"
"10106","24.0","46.0"
"10107","91.0","100.0"
"10108","44.0","50.0"
"10109","71.0","87.0"
"10110","40.0","49.0"
"10111","43.0","47.0"
"10112","9.0","85.0"
"10113","43.0","52.0"
"10114","90.0","96.0"
"10115","84.0","100.0"
"10116","37.0","48.0"
"10117","86.0","68.0"
"10118","11.0","84.0"
"10119","37.0","57.0"
"10120","40.0","46.0"
"10121","14.0","62.0"
"10122","40.0","46.0"
"10123","75.0","100.0"
"10124","11.0","84.0"
"10125","46.0","49.0"
"10126","11.0","92.0"
"10127","38.0","49.0"
"10128","70.0","89.0"
"10129","9.0","82.0"
"10130","37.0","45.0"
"10131","10.0","83.0"
"10132","38.0","57.0"
"10133","90.0","100.0"
"10134","44.0","51.0"
"10135","36.0","50.0"
"10136","31.0","84.0"
"10137","10.0","84.0"
"10138","42.0","48.0"
"10139","74.0","100.0"
"10140","73.0","87.0"
"10141","9.0","96.0"
"10142","45.0","53.0"
"10143","11.0","80.0"
"10144","37.0","47.0"
"10145","84.0","99.0"
"10146","41.0","46.0"
"10147","76.0","92.0"
"10148","11.0","87.0"
"10149","84.0","88.0"
"10150","39.0","50.0"
"10151","11.0","91.0"
"10152","45.0","56.0"
"10153","37.0","52.0"
"10154","40.0","52.0"
"10155","39.0","48.0"
"10156","11.0","80.0"
"10157","83.0","100.0"
"10158","11.0","92.0"
"10159","39.0","50.0"
"10160","45.0","45.0"
"10161","10.0","95.0"
"10162","90.0","98.0"
"10163","45.0","51.0"
"10164","79.0","89.0"
"10165","90.0","99.0"
"10166","11.0","84.0"
"10167","43.0","55.0"
"10168","31.0","54.0"
"10169","32.0","50.0"
"10170","45.0","57.0"
"10171","81.0","99.0"
"10172","41.0","46.0"
"10173","11.0","78.0"
"10174","10.0","88.0"
"10175","70.0","53.0"
"10176","54.0","74.0"
"10177","41.0","48.0"
"10178","38.0","50.0"
"10179","37.0","51.0"
"10180","11.0","85.0"
"10181","40.0","47.0"
"10182","10.0","84.0"
"10183","89.0","99.0"
"10184","11.0","80.0"
"10185","36.0","55.0"
"10186","40.0","46.0"
"10187","9.0","85.0"
"10188","40.0","46.0"
"10189","37.0","55.0"
"10190","44.0","51.0"
"10191","9.0","80.0"
"10192","92.0","87.0"
"10193","74.0","91.0"
"10194","9.0","82.0"
"10195","89.0","95.0"
"10196","9.0","80.0"
"10197","27.0","54.0"
"10198","10.0","91.0"
"10199","10.0","89.0"
"10200","77.0","94.0"
"10201","90.0","82.0"
"10202","39.0","50.0"
"10203","76.0","100.0"
"10204","10.0","93.0"
"10205","87.0","90.0"
"10206","38.0","50.0"
"10207","77.0","99.0"
"10208","78.0","87.0"
"10209","44.0","50.0"
"10210","38.0","52.0"
"10211","43.0","46.0"
"10212","39.0","50.0"
"10213","88.0","100.0"
"10214","45.0","46.0"
"10215","40.0","53.0"
"10216","36.0","51.0"
"10217","36.0","48.0"
"10218","90.0","98.0"
"10219","43.0","53.0"
"10220","89.0","87.0"
"10221","10.0","84.0"
"10222","37.0","50.0"
"10223","37.0","51.0"
"10224","87.0","90.0"
"10225","40.0","56.0"
"10226","90.0","97.0"
"10227","37.0","46.0"
"10228","44.0","54.0"
"10229","85.0","95.0"
"10230","78.0","98.0"
"10231","42.0","47.0"
"10232","92.0","99.0"
"10233","11.0","83.0"
"10234","42.0","56.0"
"10235","48.0","57.0"
"10236","83.0","85.0"
"10237","40.0","53.0"
"10238","43.0","45.0"
"10239","43.0","53.0"
"10240","10.0","97.0"
"10241","10.0","87.0"
"10242","37.0","46.0"
"10243","38.0","53.0"
"10244","40.0","50.0"
"10245","89.0","86.0"
"10246","45.0","46.0"
"10247","37.0","48.0"
"10248","46.0","49.0"
"10249","87.0","91.0"
"10250","11.0","84.0"
"10251","79.0","87.0"
"10252","79.0","92.0"
"10253","19.0","59.0"
"10254","87.0","98.0"
"10255","60.0","92.0"
"10256","44.0","45.0"
"10257","11.0","81.0"
"10258","42.0","54.0"
"10259","88.0","88.0"
"10260","11.0","84.0"
"10261","46.0","46.0"
"10262","82.0","97.0"
"10263","44.0","56.0"
"10264","11.0","78.0"
"10265","42.0","50.0"
"10266","84.0","93.0"
"10267","11.0","95.0"
"10268","45.0","53.0"
"10269","38.0","56.0"
"10270","38.0","86.0"
"10271","44.0","51.0"
"10272","11.0","84.0"
"10273","81.0","93.0"
"10274","9.0","96.0"
"10275","11.0","90.0"
"10276","81.0","95.0"
"10277","10.0","97.0"
"10278","74.0","89.0"
"10279","9.0","78.0"
"10280","82.0","81.0"
"10281","10.0","98.0"
"10282","27.0","56.0"
"10283","83.0","92.0"
"10284","10.0","93.0"
"10285","38.0","47.0"
"10286","40.0","56.0"
"10287","11.0","83.0"
"10288","11.0","79.0"
"10289","82.0","91.0"
"10290","36.0","48.0"
"10291","40.0","46.0"
"10292","87.0","84.0"
"10293","41.0","49.0"
"10294","11.0","91.0"
"10295","10.0","93.0"
"10296","38.0","51.0"
"10297","39.0","55.0"
"10298","40.0","52.0"
"10299","45.0","48.0"
"10300","74.0","84.0"
"10301","45.0","55.0"
"10302","12.0","100.0"
"10303","10.0","77.0"
"10304","37.0","55.0"
"10305","89.0","87.0"
"10306","45.0","47.0"
"10307","37.0","46.0"
"10308","11.0","81.0"
"10309","41.0","48.0"
"10310","10.0","94.0"
"10311","10.0","93.0"
"10312","11.0","95.0"
"10313","40.0","54.0"
"10314","41.0","49.0"
"10315","10.0","81.0"
"10316","73.0","86.0"
"10317","43.0","47.0"
"10318","37.0","46.0"
"10319","11.0","94.0"
"10320","40.0","46.0"
"10321","41.0","54.0"
"10322","82.0","84.0"
"10323","61.0","47.0"
"10324","11.0","91.0"
"10325","37.0","45.0"
"10326","41.0","52.0"
"10327","37.0","52.0"
"10328","88.0","99.0"
"10329","10.0","85.0"
"10330","44.0","48.0"
"10331","38.0","57.0"
"10332","11.0","85.0"
"10333","9.0","98.0"
"10334","45.0","52.0"
"10335","10.0","81.0"
"10336","45.0","47.0"
"10337","77.0","87.0"
"10338","44.0","51.0"
"10339","39.0","50.0"
"10340","10.0","91.0"
"10341","9.0","89.0"
"10342","37.0","47.0"
"10343","90.0","100.0"
"10344","41.0","56.0"
"10345","37.0","52.0"
"10346","10.0","86.0"
"10347","81.0","100.0"
"10348","11.0","80.0"
"10349","11.0","84.0"
"10350","40.0","46.0"
"10351","9.0","80.0"
"10352","48.0","93.0"
"10353","91.0","91.0"
"10354","43.0","57.0"
"10355","33.0","88.0"
"10356","41.0","57.0"
"10357","41.0","55.0"
"10358","37.0","54.0"
"10359","31.0","62.0"
"10360","9.0","91.0"
"10361","10.0","87.0"
"10362","76.0","90.0"
"10363","41.0","54.0"
"10364","72.0","96.0"
"10365","40.0","50.0"
"10366","91.0","87.0"
"10367","10.0","83.0"
"10368","40.0","56.0"
"10369","82.0","86.0"
"10370","10.0","82.0"
"10371","37.0","45.0"
"10372","36.0","51.0"
"10373","39.0","48.0"
"10374","36.0","57.0"
"10375","86.0","84.0"
"10376","73.0","99.0"
"10377","56.0","71.0"
"10378","44.0","56.0"
"10379","31.0","56.0"
"10380","77.0","93.0"
"10381","44.0","45.0"
"10382","38.0","46.0"
"10383","45.0","48.0"
"10384","38.0","51.0"
"10385","36.0","48.0"
"10386","75.0","90.0"
"10387","10.0","93.0"
"10388","10.0","97.0"
"10389","45.0","50.0"
"10390","42.0","57.0"
"10391","78.0","100.0"
"10392","45.0","55.0"
"10393","84.0","100.0"
"10394","11.0","93.0"
"10395","42.0","56.0"
"10396","45.0","46.0"
"10397","46.0","57.0"
"10398","9.0","79.0"
"10399","87.0","83.0"
"10400","10.0","87.0"
"10401","91.0","100.0"
"10402","76.0","92.0"
"10403","74.0","100.0"
"10404","92.0","93.0"
"10405","76.0","87.0"
"10406","47.0","50.0"
"10407","73.0","99.0"
"10408","9.0","94.0"
"10409","91.0","92.0"
"10410","82.0","98.0"
"10411","28.0","45.0"
"10412","84.0","99.0"
"10413","45.0","53.0"
"10414","45.0","54.0"
"10415","91.0","97.0"
"10416","42.0","48.0"
"10417","82.0","100.0"
"10418","11.0","90.0"
"10419","42.0","53.0"
"10420","82.0","85.0"
"10421","9.0","96.0"
"10422","10.0","94.0"
"10423","86.0","100.0"
"10424","40.0","46.0"
"10425","45.0","46.0"
"10426","42.0","51.0"
"10427","74.0","92.0"
"10428","55.0","60.0"
"10429","37.0","45.0"
"10430","41.0","52.0"
"10431","89.0","65.0"
"10432","41.0","57.0"
"10433","44.0","51.0"
"10434","87.0","84.0"
"10435","10.0","84.0"
"10436","41.0","47.0"
"10437","11.0","85.0"
"10438","43.0","53.0"
"10439","77.0","90.0"
"10440","41.0","52.0"
"10441","41.0","48.0"
"10442","36.0","78.0"
"10443","77.0","100.0"
"10444","81.0","98.0"
"10445","39.0","54.0"
"10446","9.0","94.0"
"10447","44.0","46.0"
"10448","10.0","84.0"
"10449","36.0","48.0"
"10450","81.0","92.0"
"10451","81.0","90.0"
"10452","85.0","98.0"
"10453","10.0","87.0"
"10454","37.0","54.0"
"10455","9.0","97.0"
"10456","44.0","53.0"
"10457","86.0","93.0"
"10458","77.0","100.0"
"10459","41.0","48.0"
"10460","40.0","48.0"
"10461","43.0","49.0"
"10462","43.0","50.0"
"10463","80.0","53.0"
"10464","80.0","85.0"
"10465","82.0","98.0"
"10466","37.0","54.0"
"10467","37.0","48.0"
"10468","9.0","95.0"
"10469","90.0","92.0"
"10470","41.0","52.0"
"10471","10.0","85.0"
"10472","44.0","53.0"
"10473","89.0","85.0"
"10474","42.0","56.0"
"10475","87.0","100.0"
"10476","45.0","57.0"
"10477","11.0","87.0"
"10478","9.0","79.0"
"10479","76.0","83.0"
"10480","11.0","96.0"
"10481","37.0","49.0"
"10482","10.0","79.0"
"10483","77.0","87.0"
"10484","42.0","54.0"
"10485","38.0","52.0"
"10486","32.0","95.0"
"10487","38.0","49.0"
"10488","19.0","100.0"
"10489","10.0","83.0"
"10490","76.0","88.0"
"10491","53.0","56.0"
"10492","39.0","51.0"
"10493","11.0","83.0"
"10494","10.0","94.0"
"10495","84.0","100.0"
"10496","82.0","99.0"
"10497","10.0","82.0"
"10498","59.0","49.0"
"10499","44.0","48.0"
"10500","89.0","95.0"
"10501","91.0","84.0"
"10502","66.0","57.0"
"10503","11.0","87.0"
"10504","43.0","51.0"
"10505","78.0","83.0"
"10506","11.0","97.0"
"10507","83.0","98.0"
"10508","39.0","54.0"
"10509","38.0","55.0"
"10510","37.0","57.0"
"10511","44.0","48.0"
"10512","53.0","85.0"
"10513","9.0","96.0"
"10514","11.0","89.0"
"10515","83.0","96.0"
"10516","88.0","100.0"
"10517","10.0","89.0"
"10518","9.0","86.0"
"10519","44.0","54.0"
"10520","39.0","51.0"
"10521","87.0","94.0"
"10522","74.0","99.0"
"10523","10.0","95.0"
"10524","74.0","82.0"
"10525","75.0","99.0"
"10526","41.0","56.0"
"10527","41.0","45.0"
"10528","9.0","90.0"
"10529","9.0","80.0"
"10530","39.0","57.0"
"10531","40.0","56.0"
"10532","37.0","54.0"
"10533","10.0","84.0"
"10534","43.0","51.0"
"10535","75.0","85.0"
"10536","37.0","56.0"
"10537","11.0","85.0"
"10538","45.0","45.0"
"10539","87.0","100.0"
"10540","11.0","94.0"
"10541","45.0","54.0"
"10542","81.0","87.0"
"10543","77.0","91.0"
"10544","89.0","92.0"
"10545","43.0","49.0"
"10546","78.0","100.0"
"10547","37.0","47.0"
"10548","37.0","50.0"
"10549","85.0","82.0"
"10550","41.0","47.0"
"10551","11.0","96.0"
"10552","75.0","99.0"
"10553","82.0","85.0"
"10554","79.0","100.0"
"10555","43.0","53.0"
"10556","10.0","90.0"
"10557","46.0","48.0"
"10558","43.0","57.0"
"10559","43.0","55.0"
"10560","11.0","80.0"
"10561","9.0","86.0"
"10562","37.0","53.0"
"10563","40.0","57.0"
"10564","10.0","77.0"
"10565","41.0","53.0"
"10566","79.0","58.0"
"10567","11.0","79.0"
"10568","10.0","97.0"
"10569","44.0","51.0"
"10570","25.0","46.0"
"10571","44.0","52.0"
"10572","73.0","100.0"
"10573","75.0","97.0"
"10574","36.0","47.0"
"10575","37.0","49.0"
"10576","39.0","49.0"
"10577","48.0","78.0"
"10578","57.0","72.0"
"10579","90.0","96.0"
"10580","39.0","55.0"
"10581","44.0","51.0"
"10582","81.0","88.0"
"10583","74.0","87.0"
"10584","44.0","56.0"
"10585","41.0","56.0"
"10586","40.0","51.0"
"10587","46.0","57.0"
"10588","80.0","83.0"
"10589","87.0","90.0"
"10590","39.0","54.0"
"10591","38.0","55.0"
"10592","66.0","67.0"
"10593","10.0","80.0"
"10594","37.0","54.0"
"10595","10.0","77.0"
"10596","9.0","87.0"
"10597","86.0","84.0"
"10598","11.0","90.0"
"10599","37.0","46.0"
"10600","11.0","92.0"
"10601","77.0","98.0"
"10602","84.0","94.0"
"10603","10.0","84.0"
"10604","83.0","90.0"
"10605","11.0","79.0"
"10606","86.0","92.0"
"10607","38.0","56.0"
"10608","11.0","88.0"
"10609","45.0","49.0"
"10610","10.0","85.0"
"10611","9.0","95.0"
"10612","39.0","53.0"
"10613","37.0","47.0"
"10614","81.0","97.0"
"10615","9.0","90.0"
"10616","10.0","88.0"
"10617","39.0","49.0"
"10618","83.0","95.0"
"10619","45.0","57.0"
"10620","43.0","51.0"
"10621","80.0","75.0"
"10622","10.0","86.0"
"10623","10.0","55.0"
"10624","36.0","52.0"
"10625","38.0","50.0"
"10626","78.0","98.0"
"10627","44.0","49.0"
"10628","41.0","46.0"
"10629","72.0","85.0"
"10630","46.0","54.0"
"10631","10.0","90.0"
"10632","34.0","67.0"
"10633","11.0","89.0"
"10634","38.0","56.0"
"10635","82.0","92.0"
"10636","39.0","57.0"
"10637","44.0","53.0"
"10638","43.0","52.0"
"10639","84.0","83.0"
"10640","43.0","48.0"
"10641","37.0","52.0"
"10642","74.0","97.0"
"10643","73.0","97.0"
"10644","37.0","47.0"
"10645","58.0","62.0"
"10646","40.0","54.0"
"10647","51.0","83.0"
"10648","46.0","50.0"
"10649","45.0","54.0"
"10650","46.0","50.0"
"10651","39.0","45.0"
"10652","9.0","88.0"
"10653","9.0","77.0"
"10654","37.0","51.0"
"10655","10.0","89.0"
"10656","77.0","100.0"
"10657","79.0","86.0"
"10658","43.0","55.0"
"10659","38.0","53.0"
"10660","77.0","91.0"
"10661","44.0","50.0"
"10662","39.0","46.0"
"10663","78.0","89.0"
"10664","10.0","79.0"
"10665","10.0","77.0"
"10666","75.0","85.0"
"10667","46.0","62.0"
"10668","91.0","97.0"
"10669","10.0","92.0"
"10670","72.0","60.0"
"10671","11.0","95.0"
"10672","11.0","94.0"
"10673","46.0","57.0"
"10674","37.0","46.0"
"10675","46.0","50.0"
"10676","43.0","57.0"
"10677","11.0","82.0"
"10678","73.0","89.0"
"10679","43.0","47.0"
"10680","86.0","100.0"
"10681","10.0","83.0"
"10682","40.0","49.0"
"10683","11.0","87.0"
"10684","86.0","98.0"
"10685","42.0","100.0"
"10686","79.0","84.0"
"10687","10.0","96.0"
"10688","9.0","92.0"
"10689","9.0","82.0"
"10690","87.0","100.0"
"10691","36.0","49.0"
"10692","42.0","75.0"
"10693","84.0","86.0"
"10694","10.0","83.0"
"10695","78.0","71.0"
"10696","35.0","99.0"
"10697","10.0","81.0"
"10698","11.0","80.0"
"10699","43.0","48.0"
"10700","38.0","45.0"
"10701","46.0","54.0"
"10702","89.0","82.0"
"10703","45.0","50.0"
"10704","44.0","53.0"
"10705","74.0","54.0"
"10706","45.0","54.0"
"10707","79.0","93.0"
"10708","79.0","91.0"
"10709","11.0","87.0"
"10710","42.0","48.0"
"10711","64.0","90.0"
"10712","40.0","55.0"
"10713","84.0","98.0"
"10714","73.0","92.0"
"10715","40.0","51.0"
"10716","36.0","45.0"
"10717","43.0","47.0"
"10718","11.0","78.0"
"10719","91.0","100.0"
"10720","80.0","100.0"
"10721","42.0","49.0"
"10722","31.0","87.0"
"10723","44.0","47.0"
"10724","38.0","54.0"
"10725","45.0","56.0"
"10726","43.0","46.0"
"10727","45.0","46.0"
"10728","43.0","57.0"
"10729","43.0","49.0"
"10730","9.0","83.0"
"10731","43.0","47.0"
"10732","79.0","94.0"
"10733","85.0","58.0"
"10734","38.0","45.0"
"10735","11.0","92.0"
"10736","83.0","99.0"
"10737","81.0","91.0"
"10738","42.0","56.0"
"10739","11.0","87.0"
"10740","11.0","85.0"
"10741","10.0","89.0"
"10742","50.0","54.0"
"10743","44.0","49.0"
"10744","11.0","90.0"
"10745","39.0","52.0"
"10746","11.0","78.0"
"10747","36.0","50.0"
"10748","43.0","51.0"
"10749","40.0","50.0"
"10750","86.0","84.0"
"10751","38.0","49.0"
"10752","46.0","45.0"
"10753","37.0","57.0"
"10754","43.0","52.0"
"10755","66.0","93.0"
"10756","37.0","48.0"
"10757","77.0","92.0"
"10758","38.0","55.0"
"10759","39.0","54.0"
"10760","41.0","55.0"
"10761","10.0","90.0"
"10762","9.0","93.0"
"10763","41.0","47.0"
"10764","39.0","46.0"
"10765","83.0","99.0"
"10766","9.0","87.0"
"10767","75.0","81.0"
"10768","44.0","54.0"
"10769","10.0","84.0"
"10770","42.0","46.0"
"10771","10.0","83.0"
"10772","10.0","86.0"
"10773","31.0","77.0"
"10774","42.0","54.0"
"10775","38.0","50.0"
"10776","39.0","57.0"
"10777","10.0","97.0"
"10778","11.0","93.0"
"10779","10.0","92.0"
"10780","11.0","90.0"
"10781","44.0","65.0"
"10782","91.0","96.0"
"10783","72.0","100.0"
"10784","36.0","46.0"
"10785","44.0","57.0"
"10786","85.0","99.0"
"10787","78.0","93.0"
"10788","39.0","46.0"
"10789","78.0","81.0"
"10790","10.0","92.0"
"10791","23.0","99.0"
"10792","11.0","87.0"
"10793","90.0","83.0"
"10794","91.0","89.0"
"10795","11.0","79.0"
"10796","43.0","54.0"
"10797","45.0","49.0"
"10798","11.0","91.0"
"10799","11.0","93.0"
"10800","43.0","50.0"
"10801","91.0","97.0"
"10802","43.0","55.0"
"10803","85.0","82.0"
"10804","10.0","77.0"
"10805","81.0","95.0"
"10806","36.0","62.0"
"10807","45.0","54.0"
"10808","86.0","100.0"
"10809","71.0","100.0"
"10810","11.0","97.0"
"10811","84.0","93.0"
"10812","9.0","97.0"
"10813","38.0","49.0"
"10814","15.0","55.0"
"10815","10.0","92.0"
"10816","80.0","97.0"
"10817","84.0","97.0"
"10818","11.0","87.0"
"10819","89.0","79.0"
"10820","45.0","51.0"
"10821","11.0","93.0"
"10822","74.0","93.0"
"10823","41.0","50.0"
"10824","44.0","53.0"
"10825","37.0","56.0"
"10826","11.0","86.0"
"10827","10.0","93.0"
"10828","70.0","74.0"
"10829","59.0","100.0"
"10830","38.0","53.0"
"10831","72.0","95.0"
"10832","73.0","100.0"
"10833","39.0","48.0"
"10834","89.0","82.0"
"10835","89.0","100.0"
"10836","11.0","78.0"
"10837","43.0","56.0"
"10838","9.0","93.0"
"10839","81.0","90.0"
"10840","37.0","53.0"
"10841","36.0","56.0"
"10842","11.0","85.0"
"10843","10.0","85.0"
"10844","66.0","47.0"
"10845","39.0","47.0"
"10846","44.0","51.0"
"10847","10.0","84.0"
"10848","79.0","94.0"
"10849","10.0","81.0"
"10850","54.0","94.0"
"10851","37.0","47.0"
"10852","37.0","57.0"
"10853","82.0","89.0"
"10854","45.0","52.0"
"10855","79.0","90.0"
"10856","42.0","56.0"
"10857","10.0","85.0"
"10858","11.0","78.0"
"10859","74.0","100.0"
"10860","10.0","93.0"
"10861","79.0","100.0"
"10862","43.0","48.0"
"10863","41.0","47.0"
"10864","39.0","55.0"
"10865","10.0","94.0"
"10866","82.0","85.0"
"10867","41.0","46.0"
"10868","42.0","56.0"
"10869","74.0","88.0"
"10870","38.0","57.0"
"10871","39.0","56.0"
"10872","87.0","94.0"
"10873","10.0","90.0"
"10874","78.0","100.0"
"10875","14.0","73.0"
"10876","11.0","94.0"
"10877","91.0","94.0"
"10878","49.0","63.0"
"10879","38.0","47.0"
"10880","82.0","97.0"
"10881","38.0","88.0"
"10882","89.0","100.0"
"10883","11.0","79.0"
"10884","37.0","51.0"
"10885","38.0","50.0"
"10886","78.0","87.0"
"10887","41.0","51.0"
"10888","41.0","51.0"
"10889","11.0","83.0"
"10890","11.0","79.0"
"10891","43.0","57.0"
"10892","75.0","86.0"
"10893","74.0","99.0"
"10894","85.0","85.0"
"10895","73.0","92.0"
"10896","10.0","79.0"
"10897","44.0","56.0"
"10898","30.0","56.0"
"10899","11.0","77.0"
"10900","84.0","83.0"
"10901","78.0","94.0"
"10902","43.0","53.0"
"10903","36.0","55.0"
"10904","43.0","47.0"
"10905","45.0","46.0"
"10906","76.0","93.0"
"10907","10.0","78.0"
"10908","9.0","86.0"
"10909","92.0","100.0"
"10910","92.0","90.0"
"10911","79.0","98.0"
"10912","43.0","51.0"
"10913","80.0","95.0"
"10914","44.0","49.0"
"10915","89.0","87.0"
"10916","48.0","88.0"
"10917","11.0","82.0"
"10918","38.0","55.0"
"10919","11.0","85.0"
"10920","82.0","86.0"
"10921","37.0","45.0"
"10922","40.0","48.0"
"10923","43.0","47.0"
"10924","44.0","50.0"
"10925","42.0","56.0"
"10926","11.0","80.0"
"10927","78.0","87.0"
"10928","46.0","86.0"
"10929","77.0","91.0"
"10930","83.0","82.0"
"10931","32.0","58.0"
"10932","90.0","92.0"
"10933","42.0","52.0"
"10934","10.0","96.0"
"10935","10.0","91.0"
"10936","44.0","49.0"
"10937","10.0","95.0"
"10938","11.0","80.0"
"10939","10.0","89.0"
"10940","39.0","47.0"
"10941","92.0","92.0"
"10942","43.0","56.0"
"10943","11.0","89.0"
"10944","81.0","100.0"
"10945","11.0","85.0"
"10946","87.0","100.0"
"10947","37.0","46.0"
"10948","39.0","56.0"
"10949","61.0","86.0"
"10950","11.0","95.0"
"10951","9.0","90.0"
"10952","36.0","52.0"
"10953","9.0","94.0"
"10954","41.0","71.0"
"10955","40.0","46.0"
"10956","10.0","91.0"
"10957","46.0","53.0"
"10958","39.0","57.0"
"10959","41.0","50.0"
"10960","10.0","94.0"
"10961","39.0","51.0"
"10962","73.0","83.0"
"10963","41.0","45.0"
"10964","37.0","51.0"
"10965","38.0","50.0"
"10966","80.0","63.0"
"10967","9.0","85.0"
"10968","85.0","92.0"
"10969","42.0","54.0"
"10970","41.0","48.0"
"10971","38.0","46.0"
"10972","72.0","100.0"
"10973","11.0","74.0"
"10974","37.0","47.0"
"10975","10.0","81.0"
"10976","36.0","54.0"
"10977","92.0","94.0"
"10978","11.0","87.0"
"10979","39.0","56.0"
"10980","11.0","95.0"
"10981","45.0","45.0"
"10982","44.0","55.0"
"10983","85.0","97.0"
"10984","43.0","52.0"
"10985","75.0","86.0"
"10986","11.0","55.0"
"10987","36.0","50.0"
"10988","10.0","79.0"
"10989","74.0","89.0"
"10990","40.0","46.0"
"10991","9.0","77.0"
"10992","76.0","91.0"
"10993","45.0","57.0"
"10994","84.0","88.0"
"10995","38.0","45.0"
"10996","38.0","46.0"
"10997","38.0","54.0"
"10998","86.0","94.0"
"10999","37.0","46.0"
"11000","37.0","50.0"
"11001","87.0","100.0"
"11002","11.0","85.0"
"11003","42.0","50.0"
"11004","43.0","48.0"
"11005","9.0","80.0"
"11006","54.0","56.0"
"11007","40.0","47.0"
"11008","36.0","52.0"
"11009","87.0","90.0"
"11010","75.0","88.0"
"11011","43.0","53.0"
"11012","43.0","47.0"
"11013","10.0","87.0"
"11014","11.0","78.0"
"11015","44.0","53.0"
"11016","39.0","48.0"
"11017","40.0","55.0"
"11018","92.0","87.0"
"11019","36.0","47.0"
"11020","86.0","95.0"
"11021","74.0","87.0"
"11022","80.0","95.0"
"11023","36.0","48.0"
"11024","42.0","57.0"
"11025","42.0","47.0"
"11026","40.0","45.0"
"11027","46.0","53.0"
"11028","9.0","90.0"
"11029","88.0","89.0"
"11030","10.0","82.0"
"11031","10.0","97.0"
"11032","11.0","93.0"
"11033","84.0","88.0"
"11034","42.0","56.0"
"11035","10.0","86.0"
"11036","10.0","95.0"
"11037","46.0","54.0"
"11038","9.0","97.0"
"11039","89.0","100.0"
"11040","82.0","100.0"
"11041","11.0","89.0"
"11042","81.0","84.0"
"11043","81.0","94.0"
"11044","77.0","100.0"
"11045","63.0","94.0"
"11046","40.0","57.0"
"11047","86.0","100.0"
"11048","37.0","49.0"
"11049","44.0","50.0"
"11050","74.0","89.0"
"11051","79.0","100.0"
"11052","9.0","92.0"
"11053","37.0","48.0"
"11054","9.0","78.0"
"11055","9.0","84.0"
"11056","10.0","80.0"
"11057","45.0","56.0"
"11058","40.0","51.0"
"11059","31.0","95.0"
"11060","70.0","93.0"
"11061","36.0","48.0"
"11062","34.0","97.0"
"11063","87.0","83.0"
"11064","11.0","91.0"
"11065","47.0","81.0"
"11066","43.0","52.0"
"11067","43.0","47.0"
"11068","45.0","57.0"
"11069","74.0","100.0"
"11070","10.0","89.0"
"11071","78.0","87.0"
"11072","90.0","95.0"
"11073","53.0","95.0"
